id,english,japanese,part,level,wordbook_id,created_at,updated_at
1,follow,に従う,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
2,consider,を考える,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
3,increase by,増加する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
4,expect to,を予期する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
5,decide to,決意をする,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
6,develop,を発達させる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
7,provide with,を与える,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
8,continue,続ける,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
9,include,を含んでいる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
10,remain,ままでいる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
11,reach,に達する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
12,allow to,を許可する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
13,be forced to,強制される,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:38:26 +0900
14,offer to,を申し出る,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
15,realize,を悟る,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
16,require,を必要とする,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
17,suggest,を提案する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
18,worry about,心配する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
19,wonder,かと思う,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
20,cost,かかった,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
21,tend to,がちである,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
22,depend on,しだいだ,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
23,share with,を共有する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
24,demand,を要求する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
25,support,を支持する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
26,hire,を雇う,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
27,regard as,とみなす,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
28,is based on,基づいている,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:38:48 +0900
29,improve,を向上させる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
30,recognize,を認める,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
31,notice,に気付く,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
